name,ticker,ticker_ex,sector,industry,cik_id,exchange_id,currency,instrument
Devon Energy Corp.,DVN,DVN US,Energy,Oil & Gas Exploration & Production,1090012,US,USD,Stock
Diamondback Energy Inc,FANG,FANG US,Energy,Oil & Gas Exploration & Production,1539838,US,USD,Stock
Digital Realty Trust Inc,DLR,DLR US,Real Estate,Specialized REITs,1297996,US,USD,Stock
Discover Financial Services,DFS,DFS US,Financials,Consumer Finance,1393612,US,USD,Stock
Discovery Inc. Class A,DISCA,DISCA US,Communication Services,Broadcasting,1437107,US,USD,Stock
Discovery Inc. Class C,DISCK,DISCK US,Communication Services,Broadcasting,1437107,US,USD,Stock
Dish Network,DISH,DISH US,Communication Services,Cable & Satellite,1001082,US,USD,Stock
Dollar General,DG,DG US,Consumer Discretionary,General Merchandise Stores,29534,US,USD,Stock
Dollar Tree,DLTR,DLTR US,Consumer Discretionary,General Merchandise Stores,935703,US,USD,Stock
Dominion Energy,D,D US,Utilities,Electric Utilities,715957,US,USD,Stock
Dover Corp.,DOV,DOV US,Industrials,Industrial Machinery,29905,US,USD,Stock
DowDuPont,DWDP,DWDP US,Materials,Diversified Chemicals,1666700,US,USD,Stock
DTE Energy Co.,DTE,DTE US,Utilities,Multi-Utilities,936340,US,USD,Stock
Duke Realty Corp,DRE,DRE US,Real Estate,Industrial REITs,783280,US,USD,Stock
Duke Energy,DUK,DUK US,Utilities,Electric Utilities,1326160,US,USD,Stock
DXC Technology,DXC,DXC US,Information Technology,IT Consulting & Other Services,1688568,US,USD,Stock
E*Trade,ETFC,ETFC US,Financials,Investment Banking & Brokerage,1015780,US,USD,Stock
Eastman Chemical,EMN,EMN US,Materials,Diversified Chemicals,915389,US,USD,Stock
Eaton Corporation,ETN,ETN US,Industrials,Electrical Components & Equipment,1551182,US,USD,Stock
eBay Inc.,EBAY,EBAY US,Consumer Discretionary,Internet & Direct Marketing Retail,1065088,US,USD,Stock
Ecolab Inc.,ECL,ECL US,Materials,Specialty Chemicals,31462,US,USD,Stock
Edison Int'l,EIX,EIX US,Utilities,Electric Utilities,827052,US,USD,Stock
Edwards Lifesciences,EW,EW US,Health Care,Health Care Equipment,1099800,US,USD,Stock
Electronic Arts,EA,EA US,Communication Services,Interactive Home Entertainment,712515,US,USD,Stock
Emerson Electric Company,EMR,EMR US,Industrials,Electrical Components & Equipment,32604,US,USD,Stock
Entergy Corp.,ETR,ETR US,Utilities,Electric Utilities,65984,US,USD,Stock
EOG Resources,EOG,EOG US,Energy,Oil & Gas Exploration & Production,821189,US,USD,Stock
Equifax Inc.,EFX,EFX US,Industrials,Research & Consulting Services,33185,US,USD,Stock
Equinix,EQIX,EQIX US,Real Estate,Specialized REITs,1101239,US,USD,Stock
Equity Residential,EQR,EQR US,Real Estate,Residential REITs,906107,US,USD,Stock
"Essex Property Trust, Inc.",ESS,ESS US,Real Estate,Residential REITs,920522,US,USD,Stock
Estee Lauder Cos.,EL,EL US,Consumer Staples,Personal Products,1001250,US,USD,Stock
Evergy,EVRG,EVRG US,Utilities,Electric Utilities,1711269,US,USD,Stock
Eversource Energy,ES,ES US,Utilities,Multi-Utilities,72741,US,USD,Stock
Everest Re Group Ltd.,RE,RE US,Financials,Reinsurance,1095073,US,USD,Stock
Exelon Corp.,EXC,EXC US,Utilities,Multi-Utilities,1109357,US,USD,Stock
Expedia Group,EXPE,EXPE US,Consumer Discretionary,Internet & Direct Marketing Retail,1324424,US,USD,Stock
Expeditors,EXPD,EXPD US,Industrials,Air Freight & Logistics,746515,US,USD,Stock
Extra Space Storage,EXR,EXR US,Real Estate,Specialized REITs,1289490,US,USD,Stock
Exxon Mobil Corp.,XOM,XOM US,Energy,Integrated Oil & Gas,34088,US,USD,Stock
F5 Networks,FFIV,FFIV US,Information Technology,Communications Equipment,1048695,US,USD,Stock
"Facebook, Inc.",FB,FB US,Communication Services,Interactive Media & Services,1326801,US,USD,Stock
Fastenal Co,FAST,FAST US,Industrials,Building Products,815556,US,USD,Stock
Federal Realty Investment Trust,FRT,FRT US,Real Estate,Retail REITs,34903,US,USD,Stock
FedEx Corporation,FDX,FDX US,Industrials,Air Freight & Logistics,1048911,US,USD,Stock
Fidelity National Information Services,FIS,FIS US,Information Technology,Internet Software & Services,1136893,US,USD,Stock
Fifth Third Bancorp,FITB,FITB US,Financials,Regional Banks,35527,US,USD,Stock
FirstEnergy Corp,FE,FE US,Utilities,Electric Utilities,1031296,US,USD,Stock
First Republic Bank,FRC,FRC US,Financials,Regional Banks,1132979,US,USD,Stock
Fiserv Inc,FISV,FISV US,Information Technology,Internet Software & Services,798354,US,USD,Stock
FleetCor Technologies Inc,FLT,FLT US,Information Technology,Data Processing & Outsources Services,1175454,US,USD,Stock
FLIR Systems,FLIR,FLIR US,Information Technology,Electronic Equipment & Instruments,354908,US,USD,Stock
Flowserve Corporation,FLS,FLS US,Industrials,Industrial Machinery,30625,US,USD,Stock
Fluor Corp.,FLR,FLR US,Industrials,Construction & Engineering,1124198,US,USD,Stock
FMC Corporation,FMC,FMC US,Materials,Fertilizers & Agricultural Chemicals,37785,US,USD,Stock
Foot Locker Inc,FL,FL US,Consumer Discretionary,Apparel Retail,850209,US,USD,Stock
Ford Motor,F,F US,Consumer Discretionary,Automobile Manufacturers,37996,US,USD,Stock
Fortinet,FTNT,FTNT US,Information Technology,Systems Software,1262039,US,USD,Stock
Fortive Corp,FTV,FTV US,Industrials,Industrial Machinery,1659166,US,USD,Stock
Fortune Brands Home & Security,FBHS,FBHS US,Industrials,Building Products,1519751,US,USD,Stock
Franklin Resources,BEN,BEN US,Financials,Asset Management & Custody Banks,38777,US,USD,Stock
Freeport-McMoRan Inc.,FCX,FCX US,Materials,Copper,831259,US,USD,Stock
Gap Inc.,GPS,GPS US,Consumer Discretionary,Apparel Retail,39911,US,USD,Stock
Garmin Ltd.,GRMN,GRMN US,Consumer Discretionary,Consumer Electronics,1121788,US,USD,Stock
Gartner Inc,IT,IT US,Information Technology,IT Consulting & Other Services,749251,US,USD,Stock
General Dynamics,GD,GD US,Industrials,Aerospace & Defense,40533,US,USD,Stock
General Electric,GE,GE US,Industrials,Industrial Conglomerates,40545,US,USD,Stock
General Mills,GIS,GIS US,Consumer Staples,Packaged Foods & Meats,40704,US,USD,Stock
General Motors,GM,GM US,Consumer Discretionary,Automobile Manufacturers,1467858,US,USD,Stock
Genuine Parts,GPC,GPC US,Consumer Discretionary,Specialty Stores,40987,US,USD,Stock
Gilead Sciences,GILD,GILD US,Health Care,Biotechnology,882095,US,USD,Stock
Global Payments Inc.,GPN,GPN US,Information Technology,Data Processing & Outsourced Services,1123360,US,USD,Stock
Goldman Sachs Group,GS,GS US,Financials,Investment Banking & Brokerage,886982,US,USD,Stock
Goodyear Tire & Rubber,GT,GT US,Consumer Discretionary,Tires & Rubber,42582,US,USD,Stock
Grainger (W.W.) Inc.,GWW,GWW US,Industrials,Industrial Machinery,277135,US,USD,Stock
Halliburton Co.,HAL,HAL US,Energy,Oil & Gas Equipment & Services,45012,US,USD,Stock
Hanesbrands Inc,HBI,HBI US,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1359841,US,USD,Stock
Harley-Davidson,HOG,HOG US,Consumer Discretionary,Motorcycle Manufacturers,793952,US,USD,Stock
Harris Corporation,HRS,HRS US,Industrials,Aerospace & Defense,202058,US,USD,Stock
Hartford Financial Svc.Gp.,HIG,HIG US,Financials,Property & Casualty Insurance,874766,US,USD,Stock
Hasbro Inc.,HAS,HAS US,Consumer Discretionary,Leisure Products,46080,US,USD,Stock
HCA Holdings,HCA,HCA US,Health Care,Health Care Facilities,860730,US,USD,Stock
HCP Inc.,HCP,HCP US,Real Estate,Health Care REITs,765880,US,USD,Stock
Helmerich & Payne,HP,HP US,Energy,Oil & Gas Drilling,46765,US,USD,Stock
Henry Schein,HSIC,HSIC US,Health Care,Health Care Distributors,1000228,US,USD,Stock
The Hershey Company,HSY,HSY US,Consumer Staples,Packaged Foods & Meats,47111,US,USD,Stock
Hess Corporation,HES,HES US,Energy,Integrated Oil & Gas,4447,US,USD,Stock
Hewlett Packard Enterprise,HPE,HPE US,Information Technology,"Technology Hardware, Storage & Peripherals",1645590,US,USD,Stock
Hilton Worldwide Holdings Inc,HLT,HLT US,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1585689,US,USD,Stock
HollyFrontier Corp,HFC,HFC US,Energy,Oil & Gas Refining & Marketing,48039,US,USD,Stock
Hologic,HOLX,HOLX US,Health Care,Health Care Equipment,859737,US,USD,Stock
Home Depot,HD,HD US,Consumer Discretionary,Home Improvement Retail,354950,US,USD,Stock
Honeywell Int'l Inc.,HON,HON US,Industrials,Industrial Conglomerates,773840,US,USD,Stock
Hormel Foods Corp.,HRL,HRL US,Consumer Staples,Packaged Foods & Meats,48465,US,USD,Stock
Host Hotels & Resorts,HST,HST US,Real Estate,Hotel & Resort REITs,1070750,US,USD,Stock
HP Inc.,HPQ,HPQ US,Information Technology,"Technology Hardware, Storage & Peripherals",47217,US,USD,Stock
Humana Inc.,HUM,HUM US,Health Care,Managed Health Care,49071,US,USD,Stock
Huntington Bancshares,HBAN,HBAN US,Financials,Regional Banks,49196,US,USD,Stock
Huntington Ingalls Industries,HII,HII US,Industrials,Aerospace & Defense,1501585,US,USD,Stock
IDEXX Laboratories,IDXX,IDXX US,Health Care,Health Care Equipment,874716,US,USD,Stock
IHS Markit Ltd.,INFO,INFO US,Industrials,Research & Consulting Services,1598014,US,USD,Stock
Illinois Tool Works,ITW,ITW US,Industrials,Industrial Machinery,49826,US,USD,Stock
Illumina Inc,ILMN,ILMN US,Health Care,Life Sciences Tools & Services,1110803,US,USD,Stock
Ingersoll-Rand PLC,IR,IR US,Industrials,Industrial Machinery,1466258,US,USD,Stock
Intel Corp.,INTC,INTC US,Information Technology,Semiconductors,50863,US,USD,Stock
Intercontinental Exchange,ICE,ICE US,Financials,Financial Exchanges & Data,1571949,US,USD,Stock
International Business Machines,IBM,IBM US,Information Technology,IT Consulting & Other Services,51143,US,USD,Stock
Incyte,INCY,INCY US,Health Care,Biotechnology,879169,US,USD,Stock
International Paper,IP,IP US,Materials,Paper Packaging,51434,US,USD,Stock
Interpublic Group,IPG,IPG US,Communication Services,Advertising,51644,US,USD,Stock
Intl Flavors & Fragrances,IFF,IFF US,Materials,Specialty Chemicals,51253,US,USD,Stock
Intuit Inc.,INTU,INTU US,Information Technology,Internet Software & Services,896878,US,USD,Stock
Intuitive Surgical Inc.,ISRG,ISRG US,Health Care,Health Care Equipment,1035267,US,USD,Stock
Invesco Ltd.,IVZ,IVZ US,Financials,Asset Management & Custody Banks,914208,US,USD,Stock
IPG Photonics Corp.,IPGP,IPGP US,Information Technology,Electronic Manufacturing Services,1111928,US,USD,Stock
IQVIA Holdings Inc.,IQV,IQV US,Health Care,Life Sciences Tools & Service,1478242,US,USD,Stock
Iron Mountain Incorporated,IRM,IRM US,Real Estate,Specialized REITs,1020569,US,USD,Stock
Jack Henry & Associates Inc,JKHY,JKHY US,Information Technology,Data Processing & Outsourced Services,1262439,US,USD,Stock
Jacobs Engineering Group,JEC,JEC US,Industrials,Construction & Engineering,52988,US,USD,Stock
J. B. Hunt Transport Services,JBHT,JBHT US,Industrials,Trucking,728535,US,USD,Stock
Jefferies Financial Group,JEF,JEF US,Financials,Multi-Sector Holdings,96223,US,USD,Stock
JM Smucker,SJM,SJM US,Consumer Staples,Packaged Foods & Meats,91419,US,USD,Stock
Johnson & Johnson,JNJ,JNJ US,Health Care,Health Care Equipment,200406,US,USD,Stock
Johnson Controls International,JCI,JCI US,Industrials,Building Products,833444,US,USD,Stock
JPMorgan Chase & Co.,JPM,JPM US,Financials,Diversified Banks,19617,US,USD,Stock
Juniper Networks,JNPR,JNPR US,Information Technology,Communications Equipment,1043604,US,USD,Stock
Kansas City Southern,KSU,KSU US,Industrials,Railroads,54480,US,USD,Stock
Kellogg Co.,K,K US,Consumer Staples,Packaged Foods & Meats,55067,US,USD,Stock
KeyCorp,KEY,KEY US,Financials,Regional Banks,91576,US,USD,Stock
Keysight Technologies,KEYS,KEYS US,Information Technology,Electronic Equipment & Instruments,1601046,US,USD,Stock
Kimberly-Clark,KMB,KMB US,Consumer Staples,Household Products,55785,US,USD,Stock
Kimco Realty,KIM,KIM US,Real Estate,Retail REITs,879101,US,USD,Stock
Kinder Morgan,KMI,KMI US,Energy,Oil & Gas Storage & Transportation,1506307,US,USD,Stock
KLA-Tencor Corp.,KLAC,KLAC US,Information Technology,Semiconductor Equipment,319201,US,USD,Stock
Kohl's Corp.,KSS,KSS US,Consumer Discretionary,General Merchandise Stores,885639,US,USD,Stock
Kraft Heinz Co,KHC,KHC US,Consumer Staples,Packaged Foods & Meats,1637459,US,USD,Stock
Kroger Co.,KR,KR US,Consumer Staples,Food Retail,56873,US,USD,Stock
L Brands Inc.,LB,LB US,Consumer Discretionary,Apparel Retail,701985,US,USD,Stock
L-3 Communications Holdings,LLL,LLL US,Industrials,Aerospace & Defense,1056239,US,USD,Stock
Laboratory Corp. of America Holding,LH,LH US,Health Care,Health Care Services,920148,US,USD,Stock
Lam Research,LRCX,LRCX US,Information Technology,Semiconductor Equipment,707549,US,USD,Stock
Lamb Weston Holdings Inc,LW,LW US,Consumer Staples,Packaged Foods & Meats,1679273,US,USD,Stock
Leggett & Platt,LEG,LEG US,Consumer Discretionary,Home Furnishings,58492,US,USD,Stock
Lennar Corp.,LEN,LEN US,Consumer Discretionary,Homebuilding,920760,US,USD,Stock
Lilly (Eli) & Co.,LLY,LLY US,Health Care,Pharmaceuticals,59478,US,USD,Stock
Lincoln National,LNC,LNC US,Financials,Multi-line Insurance,59558,US,USD,Stock
Linde plc,LIN,LIN US,Materials,Industrial Gases,1707925,US,USD,Stock
LKQ Corporation,LKQ,LKQ US,Consumer Discretionary,Distributors,1065696,US,USD,Stock
